OBJECTID,Type_WFRC,SUBTYPE_WFRC,PARCEL_ID,COUNT_PARCEL_ID,TOTAL_MKT_VALUE,LAND_MKT_VALUE,PARCEL_ACRES,HOUSE_CNT,parcel_count,ap_count,BLDG_SQFT,FLOORS_CNT,BUILT_YR,des_all,CITY,UNIT_COUNT,BUILT_DECADE
150,single_family,single_family,090250110,2.0,502000.0,195472.0,0.421398147491201,1,,0,3024.0,1.0,1972.0,['Ranch 1 Story'],Clearfield,1,1970's
151,single_family,single_family,090250111,1.0,217000.0,60303.0,0.204410059823248,1,,0,1225.0,1.0,1973.0,['Ranch 1 Story'],Clearfield,1,1970's
152,single_family,single_family,090250112,1.0,225000.0,71659.0,0.234068984865261,1,,0,1162.0,1.0,1973.0,['Ranch 1 Story'],Clearfield,1,1970's
153,single_family,single_family,090250113,1.0,227000.0,68467.0,0.244064341072702,1,,0,1248.0,1.0,1972.0,['Ranch 1 Story'],Clearfield,1,1970's
154,single_family,single_family,090250114,1.0,264000.0,62619.0,0.208224784261886,1,,0,1338.0,1.0,1975.0,['Ranch 1 Story'],Clearfield,1,1970's
155,single_family,single_family,090250115,2.0,518000.0,128992.0,0.231667079844639,1,,0,3124.0,1.0,1972.0,['Ranch 1 Story'],Clearfield,1,1970's
156,single_family,single_family,090250116,2.0,466000.0,123854.0,0.211744390860875,1,,0,2350.0,1.0,1972.0,['Ranch 1 Story'],Clearfield,1,1970's
157,single_family,single_family,090250117,2.0,468000.0,123506.0,0.204733830516704,1,,0,2350.0,1.0,1970.0,['Ranch 1 Story'],Clearfield,1,1970's
158,single_family,single_family,090250118,2.0,466000.0,114578.0,0.163954017510242,1,,0,2350.0,1.0,1966.0,['Ranch 1 Story'],Clearfield,1,1960's
159,single_family,single_family,090250119,1.0,217000.0,57289.0,0.174636091452581,1,,0,1187.0,1.0,1968.0,['Ranch 1 Story'],Clearfield,1,1960's
160,single_family,single_family,090250120,1.0,255000.0,59995.0,0.201200012331282,1,,0,1323.0,1.0,1967.0,['Ranch 1 Story'],Clearfield,1,1960's
161,single_family,single_family,090250121,1.0,251000.0,62274.0,0.207543759984,1,,0,1884.0,1.0,1966.0,['Split Level'],Clearfield,1,1960's
162,single_family,single_family,090250122,1.0,297000.0,59488.0,0.241179719668629,1,,0,1418.0,1.0,1967.0,['Ranch 1 Story'],Clearfield,1,1960's
163,single_family,single_family,090250123,2.0,540000.0,140788.0,0.265542385995701,1,,0,2884.0,1.0,1966.0,['Ranch 1 Story'],Clearfield,1,1960's
164,single_family,single_family,090250124,1.0,250000.0,54424.0,0.196034865814893,1,,0,1325.0,1.0,1967.0,['Ranch 1 Story'],Clearfield,1,1960's
165,single_family,single_family,090250125,1.0,233000.0,59102.0,0.221287006306556,1,,0,1175.0,1.0,1971.0,['Ranch 1 Story'],Clearfield,1,1970's
166,single_family,single_family,090250126,1.0,261000.0,73580.0,0.263329789488839,1,,0,1431.0,1.0,1971.0,['Ranch 1 Story'],Clearfield,1,1970's
167,single_family,single_family,090250127,1.0,257000.0,71036.0,0.241524353497495,1,,0,1377.0,1.0,1971.0,['Ranch 1 Story'],Clearfield,1,1970's
168,single_family,single_family,090250128,1.0,282000.0,74414.0,0.263313143413602,1,,0,1806.0,1.0,1968.0,['Ranch 1 Story'],Clearfield,1,1960's
169,single_family,single_family,090250129,1.0,258000.0,71659.0,0.266494807569302,1,,0,1323.0,1.0,1969.0,['Ranch 1 Story'],Clearfield,1,1960's
