,ACCOUNTNO,des_all,count
473,010230077,['Ranch 1 Story'],1
474,010230078,['Split Level'],1
475,010230079,['Ranch 1 Story'],1
476,010230080,['Ranch 1 Story'],1
477,010230081,['Ranch 1 Story'],1
478,010230082,['Ranch 1 Story'],1
479,010230083,['Ranch 1 Story'],1
480,010230084,['Ranch 1 Story'],1
481,010230085,['Ranch 1 Story'],1
482,010230086,['Ranch 1 Story'],1
483,010230087,['Ranch 1 Story'],1
484,010230088,['Ranch 1 Story'],1
485,010230089,['Ranch 1 Story'],1
486,010230090,['Ranch 1 Story'],1
487,010230091,['Split Level'],1
488,010230092,['Ranch 1 Story'],1
489,010230093,['2 Story'],1
490,010230094,['2 Story'],1
491,010230095,['Ranch 1 Story'],1
492,010230096,['Ranch 1 Story'],1
493,010230097,['Ranch 1 Story'],1
494,010230098,['Ranch 1 Story'],1
495,010230099,['Ranch 1 Story'],1
496,010230100,['Ranch 1 Story'],1
497,010230101,['Ranch 1 Story'],1
498,010230102,['Ranch 1 Story'],1
499,010230103,['Ranch 1 Story'],1
500,010230104,['Split Level'],1
501,010230105,['Split Level'],1
502,010230106,['Ranch 1 Story'],1
503,010230107,['Ranch 1 Story'],1
504,010230108,['Split Level'],1
505,010230109,['Ranch 1 Story'],1
506,010230110,['Split Level'],1
507,010230111,['Split Level'],1
508,010230112,['Ranch 1 Story'],1
509,010230113,['Ranch 1 Story'],1
510,010230114,['Split Level'],1
511,010230115,['Split Level'],1
512,010230116,['Ranch 1 Story'],1
513,010230117,['Ranch 1 Story'],1
514,010230118,['Ranch 1 Story'],1
515,010230122,['Ranch 1 Story'],1
516,010230125,['Bi Level'],1
517,010230126,['Ranch 1 Story'],1
518,010240001,['Bi Level'],1
519,010240002,['2 Story'],1
520,010240003,['2 Story'],1
521,010240004,['2 Story'],1
522,010240005,['Ranch 1 Story'],1
523,010240006,['Ranch 1 Story'],1
524,010240007,['2 Story'],1
525,010240008,['Bi Level'],1
526,010240009,['Bi Level'],1
527,010240010,['Bi Level'],1
528,010240011,['Bi Level'],1
529,010250002,['Split Level'],1
530,010250003,['Ranch 1 Story'],1
531,010250004,['Ranch 1 Story'],1
532,010250005,[nan],1
533,010250006,[nan],1
534,010250007,['Bi Level'],1
535,010250008,[nan],1
536,010260401,['Bi Level'],1
537,010260402,['Ranch 1 Story'],1
538,010260403,['Ranch 1 Story'],1
539,010260404,['Ranch 1 Story'],1
540,010260405,['Bi Level'],1
541,010260406,['Ranch 1 Story'],1
542,010260407,['Ranch 1 Story'],1
543,010260408,['Bi Level'],1
544,010260409,['Ranch 1 Story'],1
545,010260410,['Ranch 1 Story'],1
546,010260411,['Ranch 1 Story'],1
547,010260412,['Ranch 1 Story'],1
548,010260413,['Bi Level'],1
549,010260414,['Bi Level'],1
550,010260415,['Bi Level'],1
551,010260416,['Bi Level'],1
552,010260417,['Ranch 1 Story'],1
553,010260418,['Bi Level'],1
554,010260419,['Bi Level'],1
555,010260420,['Ranch 1 Story'],1
556,010260421,['Ranch 1 Story'],1
557,010260422,['Bi Level'],1
558,010260423,['Ranch 1 Story'],1
559,010260424,['Bi Level'],1
560,010260425,['Ranch 1 Story'],1
561,010260426,['Ranch 1 Story'],1
562,010260427,['Bi Level'],1
563,010260428,['Bi Level'],1
564,010260429,['Bi Level'],1
565,010260430,['Ranch 1 Story'],1
566,010260431,['Ranch 1 Story'],1
567,010260432,['Ranch 1 Story'],1
568,010260433,['Bi Level'],1
569,010260434,['Bi Level'],1
570,010260436,['2 Story'],1
