ACCOUNTNO,des_all,count,class,notes
60860105,"['Storage Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Industrial Flex Mall Building', 'Mini Warehouse', 'Mini Warehouse', 'Industrial Flex Mall Building', 'Mini Warehouse', 'Mini Warehouse', 'Industrial Flex Mall Building']",10,industrial,
60920018,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",10,industrial,
70210035,"['Barn Commercial', 'Retail Store', 'Retail Store', 'Restroom Building/Concessions', 'Restroom Building/Concessions', 'Light Commercial Utility', 'Neighborhood Shopping Center', 'Pavilions', 'Barn Commercial', 'Pavilions']",10,retail,lagoon
90360005,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Office Building', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",10,apartment,
90460021,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",10,industrial,
120030166,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Office Building', 'Multiple - Residential', 'Mini Warehouse']",10,industrial,
120650194,"['Storage Warehouse', 'Distribution Warehouse', 'Storage Warehouse', 'Indust Heavy Manufacturing', 'Distribution Warehouse', 'Distribution Warehouse', 'Distribution Warehouse', 'Office Building', 'Storage Warehouse', 'Indust Heavy Manufacturing']",10,industrial,
120790155,"['Mini Warehouse', 'Mini Warehouse', 'Industrial Flex Mall Building', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",10,industrial,
140010063,"['Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens']",10,group_quarters,
10470377,"['Multiple - Residential', 'Detached Garage', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', '3-4 plex LTEQ 3 Stories', 'Townhouse Two Story']",9,apartment,
13050107,"['Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",9,apartment,
63800010,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Shower Building', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse']",9,apartment,
80800071,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Office-Apartment', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",9,industrial,
90520095,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",9,industrial,
93920401,"['Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",9,apartment,
100280077,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Multiple - Residential', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",9,industrial,
100890105,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",9,apartment,
